pedido_id;data_pedido;cliente_id;estado;cidade;forma_pagamento;entregue_no_prazo;valor_total
6057;2025-05-08;C6056;AM;Manaus;Cartão de crédito;Sim;15925,49
6058;2025-02-13;C6057;MG;Uberlândia;Pix;Não;21793,43
6059;2025-01-25;C6058;BA;Feira de Santana;Cartão de crédito;Sim;7799,78
6060;2025-06-08;C6059;PE;Recife;Pix;Não;16660,95
6061;2025-02-02;C6060;CE;Juazeiro do Norte;Pix;Não;9598,630000000001
6062;2025-05-01;C6061;MG;Belo Horizonte;Boleto;Sim;33656,130000000005
6063;2025-01-02;C6062;SP;Santos;Cartão de crédito;Não;1394,73
6064;2024-12-18;C6063;SP;São Paulo;Pix;Sim;8268,220000000001
6065;2025-05-18;C6064;SP;Santos;Cartão de crédito;Sim;28191,160000000003
6066;2025-05-16;C6065;RJ;Petrópolis;Cartão de crédito;Sim;9794,18
6067;2025-01-13;C6066;PE;Recife;Cartão de débito;Sim;39044,979999999996
6068;2025-01-28;C6067;RJ;Niterói;Boleto;Não;33455,880000000005
6069;2024-12-21;C6068;BA;Vitória da Conquista;Boleto;Sim;11497,230000000001
6070;2025-01-10;C6069;RS;Caxias do Sul;Cartão de débito;Não;23819,399999999998
6071;2025-03-02;C6070;CE;Juazeiro do Norte;Cartão de crédito;Sim;26512,61
6072;2025-03-07;C6071;CE;Sobral;Cartão de crédito;Sim;13137,36
6073;2024-12-16;C6072;AM;Manaus;Boleto;Sim;32314,989999999998
6074;2025-05-02;C6073;PR;Curitiba;Cartão de débito;Não;5846,110000000001
6075;2025-02-12;C6074;RS;Porto Alegre;Pix;Não;14250,72
6076;2025-03-17;C6075;AM;Manaus;Boleto;Sim;11208,21
6077;2025-03-31;C6076;MG;Uberlândia;Cartão de crédito;Sim;7655,450000000001
6078;2025-06-07;C6077;AM;Manaus;Boleto;Não;12950,06
6079;2025-04-19;C6078;BA;Vitória da Conquista;Boleto;Sim;18870,19
6080;2025-05-20;C6079;RS;Pelotas;Pix;Não;11698,039999999999
6081;2025-02-20;C6080;SP;São Paulo;Pix;Não;24297,44
6082;2025-01-26;C6081;SP;São Paulo;Boleto;Sim;20353,74
6083;2025-01-13;C6082;RS;Porto Alegre;Pix;Não;187862,11
6084;2025-05-20;C6083;AM;Manaus;Cartão de crédito;Sim;15496,34
6085;2025-05-03;C6084;MG;Contagem;Cartão de crédito;Não;5382,549999999999
6086;2025-03-12;C6085;AM;Manaus;Pix;Sim;9512,92
6087;2025-05-25;C6086;SP;Campinas;Boleto;Sim;9138,44
6088;2025-03-03;C6087;PR;Curitiba;Cartão de débito;Sim;18957,85
6089;2025-04-17;C6088;PR;Maringá;Pix;Sim;25047,54
6090;2025-04-10;C6089;BA;Salvador;Cartão de débito;Não;23208,84
6091;2025-01-13;C6090;SP;São Paulo;Boleto;Não;27993,509999999995
6092;2025-04-30;C6091;BA;Feira de Santana;Cartão de débito;Sim;24962,92
6093;2025-05-16;C6092;PE;Recife;Pix;Sim;22061,71
6094;2025-01-12;C6093;BA;Feira de Santana;Boleto;Não;4052,4700000000003
6095;2025-04-07;C6094;BA;Salvador;Cartão de crédito;Sim;9201,58
6096;2025-01-06;C6095;PE;Olinda;Boleto;Sim;17649,98
6097;2025-05-12;C6096;RS;Caxias do Sul;Pix;Não;21372,98
6098;2025-03-19;C6097;SP;São Paulo;Boleto;Sim;9536,970000000001
6099;2025-02-23;C6098;RS;Porto Alegre;Cartão de crédito;Não;17678,519999999997
6100;2025-06-09;C6099;PR;Maringá;Boleto;Não;92765,91
6101;2025-04-23;C6100;AM;Manaus;Pix;Sim;14031,61
6102;2025-03-22;C6101;RS;Porto Alegre;Pix;Sim;18387,78
6103;2025-03-19;C6102;AM;Itacoatiara;Cartão de débito;Não;13305,990000000002
6104;2025-03-14;C6103;PE;Recife;Boleto;Não;4139,8
6105;2025-01-09;C6104;RJ;Petrópolis;Boleto;Não;15926,74
6106;2025-05-27;C6105;PE;Olinda;Pix;Não;1776,06
6107;2025-03-01;C6106;AM;Manaus;Cartão de débito;Não;3706,38
6108;2025-03-14;C6107;PE;Caruaru;Cartão de débito;Não;37263,25
6109;2025-02-15;C6108;PE;Caruaru;Cartão de crédito;Não;3420,44
6110;2025-05-18;C6109;RS;Porto Alegre;Pix;Não;14930,050000000001
6111;2025-02-28;C6110;CE;Juazeiro do Norte;Pix;Sim;19940,25
6112;2025-04-15;C6111;AM;Parintins;Cartão de débito;Sim;1970,92
6113;2025-04-27;C6112;RS;Pelotas;Boleto;Sim;30416,36
6114;2025-03-07;C6113;BA;Vitória da Conquista;Boleto;Sim;15939,470000000001
6115;2025-01-18;C6114;BA;Salvador;Cartão de crédito;Sim;15815,74
6116;2025-01-28;C6115;BA;Feira de Santana;Cartão de crédito;Não;16956,18
6117;2024-12-23;C6116;PE;Caruaru;Cartão de débito;Não;20272,410000000003
6118;2025-06-09;C6117;CE;Juazeiro do Norte;Cartão de débito;Sim;21403,11
6119;2025-03-15;C6118;SP;São Paulo;Pix;Sim;22022,3
6120;2025-03-31;C6119;MG;Contagem;Pix;Sim;19775,06
6121;2025-06-07;C6120;AM;Manaus;Cartão de crédito;Não;17404,8
6122;2025-03-17;C6121;MG;Uberlândia;Boleto;Não;2990,0699999999997
6123;2025-03-15;C6122;AM;Parintins;Pix;Sim;9616,949999999999
6124;2025-04-15;C6123;CE;Juazeiro do Norte;Boleto;Sim;26582,870000000003
6125;2025-04-14;C6124;RS;Pelotas;Pix;Sim;190585,94999999998
6126;2025-04-25;C6125;RS;Caxias do Sul;Cartão de crédito;Não;12242,089999999998
6127;2025-02-09;C6126;BA;Feira de Santana;Boleto;Não;14251,81
6128;2025-03-05;C6127;AM;Manaus;Cartão de débito;Sim;13353,33
6129;2025-04-09;C6128;BA;Feira de Santana;Cartão de débito;Sim;7894,89
6130;2025-05-02;C6129;RJ;Niterói;Pix;Não;13997,49
6131;2025-03-10;C6130;AM;Parintins;Pix;Sim;101630,3
6132;2025-04-12;C6131;BA;Feira de Santana;Pix;Sim;761,28
6133;2025-02-24;C6132;PE;Olinda;Cartão de crédito;Não;3646,88
6134;2024-12-24;C6133;RS;Caxias do Sul;Pix;Sim;21399,05
6135;2025-05-25;C6134;CE;Fortaleza;Boleto;Não;18723,87
6136;2025-05-17;C6135;CE;Fortaleza;Pix;Não;4449,0
6137;2025-03-23;C6136;PE;Caruaru;Cartão de débito;Não;5754,28
6138;2025-05-05;C6137;MG;Contagem;Cartão de crédito;Não;26216,5
6139;2024-12-29;C6138;SP;São Paulo;Pix;Sim;16757,98
6140;2024-12-21;C6139;CE;Fortaleza;Cartão de crédito;Não;7181,1
6141;2025-03-27;C6140;PE;Olinda;Cartão de débito;Não;9085,11
6142;2025-06-11;C6141;PR;Londrina;Pix;Não;30141,140000000003
6143;2025-04-30;C6142;PE;Olinda;Cartão de crédito;Não;8315,08
6144;2024-12-31;C6143;SP;Santos;Cartão de crédito;Não;959459,07
6145;2025-01-13;C6144;BA;Vitória da Conquista;Cartão de crédito;Sim;21389,05
6146;2025-03-28;C6145;SP;São Paulo;Cartão de débito;Sim;29876,35
6147;2024-12-15;C6146;MG;Belo Horizonte;Cartão de débito;Não;4458,8099999999995
6148;2025-01-03;C6147;RJ;Petrópolis;Cartão de débito;Não;28001,989999999998
6149;2025-05-22;C6148;RS;Caxias do Sul;Cartão de débito;Sim;20065,21
6150;2025-05-22;C6149;MG;Uberlândia;Cartão de crédito;Sim;13760,08
6151;2025-02-19;C6150;RS;Pelotas;Pix;Não;168329,12999999998
6152;2025-01-12;C6151;BA;Salvador;Cartão de débito;Sim;22820,190000000002
6153;2025-05-09;C6152;RS;Pelotas;Cartão de crédito;Sim;16302,77
6154;2025-04-02;C6153;PR;Maringá;Pix;Não;11706,130000000001
6155;2025-05-29;C6154;RJ;Petrópolis;Boleto;Sim;11400,349999999999
6156;2025-01-30;C6155;PE;Olinda;Cartão de crédito;Não;25620,629999999997
6157;2025-03-13;C6156;PR;Maringá;Pix;Sim;14186,24
6158;2025-06-13;C6157;PE;Recife;Boleto;Não;60310,27
6159;2025-02-23;C6158;CE;Juazeiro do Norte;Boleto;Não;1957,32
6160;2024-12-18;C6159;BA;Salvador;Boleto;Não;692939,6799999999
6161;2025-01-31;C6160;BA;Feira de Santana;Pix;Não;4200,75
6162;2025-02-15;C6161;SP;Campinas;Boleto;Sim;3373,26
6163;2025-06-13;C6162;CE;Fortaleza;Boleto;Não;3751,08
6164;2025-04-07;C6163;PR;Londrina;Boleto;Sim;1185,87
6165;2025-01-06;C6164;AM;Manaus;Cartão de crédito;Sim;16109,25
6166;2025-04-06;C6165;PE;Olinda;Cartão de débito;Não;24706,120000000003
6167;2025-04-21;C6166;CE;Juazeiro do Norte;Cartão de crédito;Sim;4231,52
6168;2025-01-02;C6167;RS;Porto Alegre;Pix;Sim;12343,26
6169;2025-01-08;C6168;RS;Pelotas;Boleto;Não;18644,780000000002
6170;2025-04-25;C6169;AM;Itacoatiara;Boleto;Não;34203,479999999996
6171;2025-02-22;C6170;AM;Parintins;Boleto;Não;2787,67
6172;2024-12-27;C6171;RS;Caxias do Sul;Boleto;Sim;19239,800000000003
6173;2024-12-16;C6172;RJ;Petrópolis;Cartão de débito;Não;14387,030000000002
6174;2025-03-10;C6173;RJ;Petrópolis;Cartão de débito;Sim;25551,66
6175;2025-03-08;C6174;BA;Vitória da Conquista;Pix;Não;22343,96
6176;2025-01-08;C6175;AM;Itacoatiara;Boleto;Sim;7011,01
6177;2024-12-30;C6176;BA;Feira de Santana;Cartão de débito;Não;12654,98
6178;2024-12-22;C6177;MG;Uberlândia;Cartão de crédito;Sim;14246,92
6179;2025-05-28;C6178;RS;Porto Alegre;Cartão de crédito;Não;39062,24
6180;2025-02-12;C6179;MG;Contagem;Pix;Sim;16397,1
6181;2025-03-03;C6180;SP;Santos;Boleto;Não;14663,390000000001
6182;2025-02-28;C6181;CE;Juazeiro do Norte;Boleto;Sim;18100,28
6183;2025-06-04;C6182;SP;Campinas;Pix;Sim;20553,3
6184;2025-04-01;C6183;RJ;Niterói;Pix;Sim;1271,56
6185;2025-05-26;C6184;SP;São Paulo;Cartão de débito;Não;9910,67
6186;2025-02-09;C6185;RJ;Rio de Janeiro;Cartão de crédito;Não;1660004,5500000003
6187;2025-03-27;C6186;BA;Vitória da Conquista;Pix;Não;18845,68
6188;2025-02-23;C6187;CE;Juazeiro do Norte;Pix;Não;8301,54
6189;2025-05-18;C6188;SP;Santos;Cartão de crédito;Sim;7566,17
6190;2025-06-01;C6189;BA;Feira de Santana;Cartão de crédito;Sim;17115,909999999996
6191;2025-02-20;C6190;BA;Salvador;Cartão de crédito;Sim;35514,95
6192;2025-02-04;C6191;SP;Campinas;Pix;Não;7643,41
6193;2025-03-07;C6192;RS;Porto Alegre;Cartão de débito;Não;1594,87
6194;2025-04-02;C6193;RS;Pelotas;Pix;Sim;13904,43
6195;2025-06-12;C6194;BA;Feira de Santana;Cartão de débito;Não;13394,259999999998
6196;2025-06-12;C6195;RJ;Petrópolis;Cartão de débito;Sim;23231,760000000002
6197;2025-04-13;C6196;RS;Porto Alegre;Cartão de crédito;Sim;22978,57
6198;2025-05-15;C6197;MG;Uberlândia;Boleto;Não;7762,33
6199;2025-03-05;C6198;RJ;Niterói;Boleto;Não;23609,300000000003
6200;2025-04-21;C6199;RS;Pelotas;Pix;Não;15988,429999999998
6201;2025-05-31;C6200;RJ;Petrópolis;Cartão de crédito;Não;4749,93
6202;2025-02-04;C6201;PR;Maringá;Boleto;Sim;73949,61
6203;2025-03-29;C6202;RJ;Rio de Janeiro;Cartão de crédito;Não;32259,25
6204;2025-05-07;C6203;SP;São Paulo;Pix;Não;16386,89
6205;2025-03-12;C6204;RS;Porto Alegre;Pix;Não;3884,18
6206;2025-05-12;C6205;RJ;Niterói;Boleto;Não;22259,41
6207;2025-02-22;C6206;PR;Londrina;Cartão de crédito;Sim;28069,71
6208;2025-02-17;C6207;PR;Londrina;Pix;Não;4955,43
6209;2025-05-25;C6208;PE;Caruaru;Cartão de crédito;Não;15677,720000000001
6210;2025-04-21;C6209;RJ;Niterói;Boleto;Não;8258,08
6211;2025-03-13;C6210;RJ;Niterói;Cartão de crédito;Não;356023,65
6212;2025-02-06;C6211;PE;Recife;Cartão de débito;Não;8589,060000000001
6213;2025-02-26;C6212;CE;Sobral;Pix;Sim;15679,45
6214;2025-02-15;C6213;BA;Feira de Santana;Cartão de débito;Não;4275,88
6215;2025-04-24;C6214;CE;Sobral;Pix;Sim;1973,72
6216;2025-04-23;C6215;SP;Santos;Cartão de débito;Sim;4008,4900000000002
6217;2025-04-27;C6216;RS;Pelotas;Cartão de crédito;Não;29446,83
6218;2025-04-19;C6217;RJ;Rio de Janeiro;Cartão de crédito;Não;18721,15
6219;2025-01-29;C6218;RJ;Petrópolis;Cartão de débito;Não;13081,58
6220;2024-12-21;C6219;RS;Pelotas;Boleto;Não;16020,7
6221;2025-02-03;C6220;CE;Juazeiro do Norte;Cartão de débito;Não;6606,38
6222;2025-05-16;C6221;AM;Manaus;Pix;Sim;17853,17
6223;2025-06-10;C6222;AM;Itacoatiara;Cartão de débito;Sim;15663,56
6224;2025-04-02;C6223;RS;Caxias do Sul;Boleto;Não;23906,09
6225;2025-04-24;C6224;SP;Campinas;Boleto;Não;32779,91
6226;2025-05-07;C6225;MG;Uberlândia;Pix;Não;7149,6
6227;2025-01-21;C6226;PR;Maringá;Pix;Não;6417,27
6228;2025-05-28;C6227;PR;Curitiba;Cartão de débito;Não;7587,460000000001
6229;2025-03-24;C6228;BA;Feira de Santana;Cartão de crédito;Não;13249,4
6230;2024-12-29;C6229;CE;Sobral;Pix;Não;1801,95
6231;2025-02-04;C6230;MG;Uberlândia;Cartão de crédito;Sim;6215,599999999999
6232;2025-04-28;C6231;AM;Itacoatiara;Boleto;Sim;2902,84
6233;2025-06-05;C6232;CE;Fortaleza;Pix;Sim;4352,73
6234;2025-05-08;C6233;MG;Uberlândia;Cartão de débito;Sim;13542,96
6235;2025-06-14;C6234;CE;Juazeiro do Norte;Boleto;Não;24912,42
6236;2025-04-12;C6235;RJ;Niterói;Pix;Não;4428,46
6237;2025-02-16;C6236;CE;Sobral;Cartão de crédito;Sim;12334,869999999999
6238;2025-01-23;C6237;BA;Vitória da Conquista;Boleto;Sim;45699,40000000001
6239;2025-05-07;C6238;RJ;Niterói;Cartão de crédito;Sim;12465,28
6240;2025-05-26;C6239;CE;Fortaleza;Boleto;Sim;1049,92
6241;2025-05-28;C6240;SP;Campinas;Cartão de crédito;Não;4569,99
6242;2025-01-05;C6241;PR;Londrina;Pix;Sim;4552,92
6243;2025-05-27;C6242;BA;Vitória da Conquista;Pix;Sim;22439,27
6244;2025-04-27;C6243;MG;Belo Horizonte;Cartão de crédito;Não;7100,98
6245;2025-03-01;C6244;BA;Feira de Santana;Cartão de débito;Sim;9668,34
6246;2025-04-15;C6245;CE;Sobral;Boleto;Não;704123,69
6247;2025-03-22;C6246;RS;Pelotas;Cartão de crédito;Não;6368,84
6248;2025-06-08;C6247;RS;Pelotas;Cartão de débito;Sim;14595,96
6249;2025-03-24;C6248;CE;Juazeiro do Norte;Boleto;Não;2591,98
6250;2025-06-01;C6249;RS;Caxias do Sul;Boleto;Sim;35348,03
6251;2025-02-17;C6250;PE;Olinda;Cartão de crédito;Sim;6180,12
6252;2025-01-24;C6251;PE;Caruaru;Boleto;Não;23505,28
6253;2025-03-04;C6252;RS;Porto Alegre;Pix;Não;11479,640000000001
6254;2025-04-22;C6253;SP;Santos;Cartão de crédito;Não;16644,269999999997
6255;2024-12-17;C6254;RS;Porto Alegre;Boleto;Sim;34461,119999999995
6256;2025-03-01;C6255;BA;Vitória da Conquista;Boleto;Sim;21265,18
6257;2025-03-04;C6256;RJ;Petrópolis;Cartão de crédito;Não;29298,579999999998
6258;2025-05-24;C6257;CE;Fortaleza;Boleto;Sim;7391,38
6259;2025-04-27;C6258;RJ;Niterói;Boleto;Não;16328,54
6260;2025-05-24;C6259;MG;Belo Horizonte;Cartão de débito;Não;44226,369999999995
6261;2025-04-28;C6260;AM;Itacoatiara;Boleto;Sim;2645,45
6262;2025-01-31;C6261;RS;Caxias do Sul;Boleto;Não;32259,94
6263;2025-03-25;C6262;RJ;Niterói;Cartão de crédito;Sim;53955,0
6264;2025-06-06;C6263;BA;Vitória da Conquista;Pix;Não;1957,88
6265;2025-02-01;C6264;RJ;Niterói;Cartão de crédito;Não;10855,92
6266;2025-04-18;C6265;AM;Manaus;Pix;Não;21630,84
6267;2024-12-17;C6266;RS;Pelotas;Pix;Não;10514,18
6268;2025-04-30;C6267;RJ;Petrópolis;Cartão de débito;Não;0,0
6269;2025-05-22;C6268;SP;Santos;Boleto;Sim;17288,36
6270;2025-03-08;C6269;RJ;Petrópolis;Pix;Não;12409,119999999999
6271;2025-03-28;C6270;PE;Recife;Cartão de débito;Sim;2768,53
6272;2025-02-14;C6271;SP;Campinas;Pix;Sim;28807,42
6273;2025-03-08;C6272;RJ;Rio de Janeiro;Cartão de débito;Não;8623,779999999999
6274;2025-01-08;C6273;CE;Juazeiro do Norte;Pix;Sim;17582,36
6275;2025-05-13;C6274;PE;Caruaru;Cartão de crédito;Não;6442,34
6276;2025-02-22;C6275;PE;Olinda;Cartão de crédito;Não;9708,56
6277;2025-05-11;C6276;BA;Feira de Santana;Pix;Sim;29281,55
6278;2025-03-12;C6277;PR;Curitiba;Boleto;Não;11252,42
6279;2025-06-02;C6278;SP;Campinas;Boleto;Sim;15478,41
6280;2025-04-04;C6279;RJ;Niterói;Cartão de crédito;Sim;4707,65
6281;2025-02-13;C6280;SP;São Paulo;Boleto;Sim;19549,92
6282;2025-01-08;C6281;MG;Contagem;Cartão de débito;Sim;27699,800000000003
6283;2025-03-01;C6282;AM;Manaus;Cartão de débito;Sim;14182,919999999998
6284;2025-04-25;C6283;PR;Curitiba;Cartão de crédito;Não;8895,21
6285;2025-02-05;C6284;MG;Belo Horizonte;Boleto;Sim;17940,66
6286;2025-04-10;C6285;RJ;Petrópolis;Cartão de crédito;Sim;10052,289999999999
6287;2025-01-02;C6286;SP;Campinas;Cartão de débito;Não;27318,050000000003
6288;2025-04-24;C6287;SP;São Paulo;Boleto;Sim;3783,7599999999998
6289;2025-01-12;C6288;MG;Contagem;Pix;Sim;23900,829999999998
6290;2025-03-11;C6289;RJ;Niterói;Pix;Não;4140,24
6291;2025-05-02;C6290;AM;Itacoatiara;Cartão de crédito;Não;27943,65
6292;2025-03-10;C6291;AM;Manaus;Cartão de crédito;Não;10719,53
6293;2025-03-03;C6292;CE;Sobral;Cartão de crédito;Sim;169,54
6294;2024-12-21;C6293;CE;Juazeiro do Norte;Pix;Sim;2305,59
6295;2025-05-16;C6294;CE;Sobral;Pix;Sim;8244,58
6296;2025-03-20;C6295;RJ;Niterói;Cartão de débito;Sim;31645,519999999997
6297;2025-05-02;C6296;MG;Uberlândia;Boleto;Não;2040,18
6298;2025-02-14;C6297;AM;Parintins;Pix;Não;23011,94
6299;2024-12-23;C6298;RJ;Petrópolis;Cartão de crédito;Sim;9889,66
6300;2025-04-26;C6299;PE;Olinda;Cartão de débito;Não;15110,39
6301;2025-02-19;C6300;PR;Londrina;Pix;Não;19927,17
6302;2025-03-25;C6301;RJ;Niterói;Pix;Não;15691,450000000003
6303;2025-04-19;C6302;RS;Caxias do Sul;Cartão de débito;Não;467691,46
6304;2024-12-22;C6303;RJ;Rio de Janeiro;Cartão de crédito;Sim;154300,04
6305;2025-04-25;C6304;PE;Recife;Boleto;Sim;18540,52
6306;2025-01-16;C6305;AM;Manaus;Boleto;Sim;16103,68
6307;2025-03-24;C6306;PE;Olinda;Pix;Sim;10840,02
6308;2025-02-07;C6307;RS;Pelotas;Boleto;Não;13154,93
6309;2024-12-18;C6308;RJ;Petrópolis;Cartão de débito;Sim;29427,65
6310;2025-06-09;C6309;CE;Fortaleza;Cartão de crédito;Não;18591,28
6311;2025-02-08;C6310;AM;Parintins;Cartão de crédito;Não;16052,72
6312;2025-03-16;C6311;BA;Feira de Santana;Cartão de crédito;Não;10935,900000000001
6313;2025-02-01;C6312;SP;São Paulo;Boleto;Não;12643,570000000002
6314;2025-06-01;C6313;PR;Londrina;Cartão de crédito;Sim;8910,32
6315;2025-03-19;C6314;MG;Contagem;Pix;Sim;8334,28
6316;2025-02-12;C6315;MG;Contagem;Cartão de crédito;Sim;22835,02
6317;2025-02-15;C6316;AM;Manaus;Pix;Não;13780,73
6318;2025-03-19;C6317;CE;Juazeiro do Norte;Cartão de débito;Não;17389,68
6319;2025-01-20;C6318;RS;Pelotas;Boleto;Sim;9850,439999999999
6320;2025-05-21;C6319;SP;São Paulo;Cartão de débito;Sim;3694,5299999999997
6321;2025-02-23;C6320;RJ;Niterói;Pix;Não;29250,820000000003
6322;2025-03-20;C6321;CE;Sobral;Pix;Não;5704,87
6323;2025-01-11;C6322;RS;Porto Alegre;Cartão de crédito;Não;3265,32
6324;2025-05-22;C6323;PE;Recife;Boleto;Não;17854,41
6325;2025-05-11;C6324;AM;Itacoatiara;Boleto;Sim;3949,64
6326;2025-04-08;C6325;BA;Feira de Santana;Cartão de crédito;Sim;13229,42
6327;2025-05-11;C6326;BA;Feira de Santana;Cartão de débito;Sim;17904,04
6328;2025-04-15;C6327;RS;Caxias do Sul;Boleto;Sim;18493,960000000003
6329;2025-05-15;C6328;SP;Campinas;Pix;Sim;10519,66
6330;2025-05-31;C6329;MG;Uberlândia;Cartão de débito;Não;12047,64
6331;2025-02-16;C6330;RJ;Niterói;Cartão de crédito;Não;7779,719999999999
6332;2025-06-15;C6331;SP;Campinas;Cartão de crédito;Não;22886,71
6333;2025-05-18;C6332;PE;Caruaru;Pix;Não;24090,62
6334;2025-02-28;C6333;RS;Porto Alegre;Pix;Sim;26753,72
6335;2025-01-06;C6334;PR;Curitiba;Pix;Não;3045,6
6336;2025-01-26;C6335;RJ;Niterói;Cartão de crédito;Sim;18292,870000000003
6337;2025-06-11;C6336;PE;Caruaru;Pix;Sim;12491,939999999999
6338;2025-06-13;C6337;PE;Olinda;Boleto;Sim;10185,150000000001
6339;2025-04-15;C6338;PR;Curitiba;Cartão de crédito;Sim;4947,43
6340;2025-04-08;C6339;AM;Itacoatiara;Cartão de débito;Não;11085,82
6341;2025-01-01;C6340;PR;Maringá;Cartão de débito;Sim;22395,690000000002
6342;2025-05-22;C6341;RJ;Rio de Janeiro;Boleto;Sim;81388,9
6343;2025-02-08;C6342;MG;Contagem;Cartão de débito;Sim;6937,54
6344;2025-01-30;C6343;MG;Contagem;Pix;Não;18441,100000000002
6345;2025-04-28;C6344;CE;Sobral;Boleto;Não;10914,94
6346;2024-12-21;C6345;MG;Uberlândia;Cartão de crédito;Não;28780,910000000003
6347;2025-01-01;C6346;CE;Sobral;Boleto;Não;8171,08
6348;2025-01-21;C6347;SP;Campinas;Cartão de crédito;Não;6279,71
6349;2025-01-09;C6348;CE;Juazeiro do Norte;Cartão de crédito;Sim;9517,8
6350;2025-05-15;C6349;PR;Londrina;Cartão de crédito;Sim;3915,16
6351;2024-12-29;C6350;AM;Parintins;Pix;Sim;7181,110000000001
