pedido_id;categoria_produto;nome_produto;preco_unitario;quantidade
6033;Eletrônicos;Smartphone;891,74;3,0
6034;Moda;Jaqueta;4525,88;2,0
6034;Eletrônicos;Smartphone;1499,74;2,0
6034;Eletrônicos;Notebook;1269,81;2,0
6035;Livros;Ficção Científica;4249,41;1,0
6035;Livros;Ficção Científica;223,79;1,0
6035;Livros;Biografia;81,01;2,0
6036;Eletrônicos;Smartphone;4471,71;3,0
6036;Esporte;Tênis Esportivo;3081,14;2,0
6036;Livros;Biografia;2299,39;3,0
6036;Esporte;Bicicleta;3754,08;2,0
6036;Livros;Biografia;624,81;3,0
6037;Casa;Liquidificador;732,55;3,0
6037;Casa;Cadeira;1725,98;1,0
6038;Livros;Romance;4676,63;3,0
6038;Eletrônicos;Smartphone;2114,17;1,0
6038;Esporte;Luvas;3459,41;1,0
6038;Eletrônicos;Smartphone;4479,0;3,0
6039;Moda;Calça Jeans;;1,0
6039;Eletrônicos;Tablet;2691,67;2,0
6039;Casa;Aspirador de Pó;785,17;1,0
6039;Esporte;Tênis Esportivo;4641,52;2,0
6039;Moda;Jaqueta;4183,22;3,0
6040;Moda;Camiseta;2659,52;3,0
6040;Livros;Autoajuda;2877,49;3,0
6040;Eletrônicos;Smartphone;85,28;3,0
6040;Moda;Calça Jeans;3320,38;3,0
6041;Esporte;Bicicleta;3807,51;3,0
6041;Esporte;Bola de Futebol;3526,19;1,0
6041;Moda;Camiseta;261,73;3,0
6042;Livros;Biografia;3089,95;3,0
6042;Moda;;4031,16;3,0
6042;Esporte;Bola de Futebol;749,4;2,0
6042;Eletrônicos;Fone de Ouvido;1693,35;3,0
6043;Livros;Romance;3541,29;1,0
6044;Esporte;Bola de Futebol;4035,89;1,0
6044;Livros;Romance;892,31;1,0
6044;Livros;Romance;2109,99;
6044;Livros;Autoajuda;1339,55;2,0
6044;Casa;Cadeira;237,04;3,0
6045;Livros;Romance;3183,78;3,0
6046;Casa;Cadeira;2195,19;3,0
6046;Livros;Ficção Científica;205,33;2,0
6046;Livros;Biografia;2174,13;1,0
6046;Moda;Jaqueta;2668,29;3,0
6046;Esporte;Luvas;1757,55;3,0
6047;Casa;Aspirador de Pó;398,12;
6047;Eletrônicos;Tablet;3246,36;1,0
6047;Casa;Liquidificador;4427,06;1,0
6047;Moda;Jaqueta;75,33;2,0
6047;Esporte;Tênis Esportivo;;2,0
6048;Casa;Liquidificador;1095,17;1,0
6049;Livros;Romance;3806,84;3,0
6049;Livros;Biografia;3657,37;3,0
6050;Casa;Cadeira;1560,96;3,0
6050;Eletrônicos;Fone de Ouvido;2314,22;3,0
6051;Livros;Ficção Científica;1558,9;191,0
6052;Moda;Tênis;4417,04;3,0
6052;Esporte;Luvas;1098,81;1,0
6052;Casa;Cadeira;3651,7;1,0
6052;Esporte;Luvas;68,9;3,0
6052;Livros;Autoajuda;4079,02;3,0
6053;Livros;Autoajuda;3453,17;1,0
6053;Casa;Aspirador de Pó;1856,77;3,0
6053;Casa;Aspirador de Pó;4367,01;1,0
6053;Casa;Aspirador de Pó;3593,01;1,0
6054;Casa;Aspirador de Pó;796,68;2,0
6055;Eletrônicos;Tablet;4494,44;3,0
6055;Livros;Autoajuda;2689,83;2,0
6056;Esporte;Luvas;3206,52;3,0
6056;Eletrônicos;Tablet;1414,35;3,0
6056;Moda;Jaqueta;4868,62;3,0
6056;Livros;Biografia;4159,83;2,0
6057;Moda;Camiseta;1178,32;3,0
6057;Moda;Camiseta;4690,01;2,0
6057;Livros;Biografia;3010,51;1,0
6058;Casa;Sofá;1394,45;3,0
6058;Esporte;Tênis Esportivo;462,32;3,0
6058;Eletrônicos;Fone de Ouvido;4854,54;2,0
6058;Moda;Jaqueta;2235,5;1,0
6058;Eletrônicos;Tablet;2139,27;2,0
6059;Livros;Autoajuda;1797,3;
6059;Eletrônicos;Fone de Ouvido;3899,89;2,0
6060;Eletrônicos;Tablet;2219,78;3,0
6060;Esporte;Bicicleta;4678,77;1,0
6060;Eletrônicos;Notebook;1774,28;3,0
6061;Eletrônicos;Smartphone;1998,13;1,0
6061;Eletrônicos;Smartphone;3800,25;2,0
6062;Esporte;Bicicleta;887,58;2,0
6062;Moda;Calça Jeans;2635,9;3,0
6062;Moda;Tênis;3868,3;3,0
6062;Moda;Jaqueta;1926,4;3,0
6062;Eletrônicos;Fone de Ouvido;2196,39;3,0
6063;Eletrônicos;Smartphone;1394,73;1,0
6064;Livros;Romance;387,79;2,0
6064;Moda;Jaqueta;3746,32;2,0
6065;Esporte;Luvas;4934,22;2,0
6065;Eletrônicos;Fone de Ouvido;1651,69;2,0
6065;Esporte;Bola de Futebol;1744,9;3,0
6065;Moda;Jaqueta;233,29;2,0
6065;Esporte;Tênis Esportivo;4659,03;2,0
6066;Esporte;Bicicleta;268,95;2,0
6066;Moda;Jaqueta;4628,14;2,0
6067;Casa;Liquidificador;562,22;3,0
6067;Moda;Tênis;2061,58;3,0
6067;Moda;Tênis;3697,18;1,0
6067;Eletrônicos;Fone de Ouvido;4850,15;3,0
6067;Moda;Calça Jeans;4308,65;3,0
6068;Esporte;Tênis Esportivo;4377,52;3,0
6068;Moda;Camiseta;4573,5;2,0
6068;Moda;Jaqueta;1321,31;3,0
6068;Livros;Autoajuda;2404,13;3,0
6069;Livros;Autoajuda;42,56;3,0
6069;Casa;Liquidificador;4161,01;2,0
6069;Eletrônicos;Smartphone;3047,53;1,0
6070;Esporte; ;1870,52;1,0
6070;Casa;Cadeira;1515,71;2,0
6070;Casa;Aspirador de Pó;1715,09;3,0
6070;Eletrônicos;Tablet;4590,73;3,0
6071;Moda;Calça Jeans;2601,23;3,0
6071;Livros;Autoajuda;1382,4;2,0
6071;Esporte;Tênis Esportivo;1914,8;2,0
6071;Casa;Liquidificador;2422,6;2,0
6071;Livros;Biografia;3634,66;2,0
6072;Livros;Ficção Científica;4920,43;2,0
6072;Casa;Sofá;3296,5;1,0
6073;Esporte;Bicicleta;4755,22;3,0
6073;Eletrônicos;Fone de Ouvido;3845,38;1,0
6073;Esporte;Luvas;4734,65;3,0
6074;Livros;Romance;1748,5;2,0
6074;Casa;Sofá;2349,11;1,0
6075;Eletrônicos;Smartphone;4750,24;3,0
6076;Esporte;Luvas;4298,28;2,0
6076;Casa;Cadeira;1224,75;1,0
6076;Livros;Autoajuda;693,45;2,0
6077;Esporte;Tênis Esportivo;2024,42;1,0
6077;Moda;Tênis;1373,71;3,0
6077;Esporte;Tênis Esportivo;503,3;3,0
6078;Livros;Autoajuda;1093,56;3,0
6078;Livros;Ficção Científica;;1,0
6078;Casa;Cadeira;4834,69;2,0
6079;Eletrônicos;Fone de Ouvido;2445,34;3,0
6079;Livros;Autoajuda;1829,76;3,0
6079;Eletrônicos;Tablet;2030,19;1,0
6079;Casa;Cadeira;3151,51;1,0
6079;Moda;Jaqueta;863,19;1,0
6080;Esporte;Bola de Futebol;1523,9;2,0
6080;Eletrônicos;Fone de Ouvido;2020,22;3,0
6080;Esporte;Bola de Futebol;1294,79;2,0
6081;Esporte;Bicicleta;4871,74;1,0
6081;Casa;Cadeira;3576,81;3,0
6081;Livros;Romance;2605,46;1,0
6081;Esporte;Tênis Esportivo;1883,13;2,0
6081;Eletrônicos;Smartphone;2323,55;1,0
6082;Esporte;Bola de Futebol;125,9;2,0
6082;Livros;Romance;3305,5;1,0
6082;Eletrônicos;Tablet;3756,03;2,0
6082;Esporte;Tênis Esportivo;2885,88;2,0
6082;Casa;Sofá;3512,62;1,0
6083;Livros;Biografia;3409,12;2,0
6083;Moda;Camiseta;;2,0
6083;Casa;Aspirador de Pó;57032,82;3,0
6083;Esporte;Luvas;2026,97;1,0
6083;Livros;Ficção Científica;3959,22;2,0
6084;Livros;Biografia;3525,06;3,0
6084;Esporte;Bola de Futebol;2460,58;2,0
6085;Moda;Calça Jeans;1372,35;1,0
6085;Moda;Calça Jeans;4010,2;1,0
6086;Casa;Liquidificador;399,82;1,0
6086;Eletrônicos;Tablet;4556,55;2,0
6087;Esporte;Tênis Esportivo;4878,64;1,0
6087;Esporte;Luvas;4259,8;1,0
6088;Esporte; ;2224,9;1,0
6088;Livros;Romance;1004,21;3,0
6088;Eletrônicos;Smartphone;4573,44;3,0
6089;Livros;Autoajuda;4222,1;3,0
6089;Moda;Jaqueta;4127,08;3,0
6090;Livros;;4744,46;3,0
6090;Esporte;Bicicleta;4487,73;2,0
6091;Livros;Romance;733,21;3,0
6091;Casa;Sofá;2162,95;3,0
6091;Eletrônicos;Smartphone;4056,93;3,0
6091;Moda;Calça Jeans;3989,92;1,0
6091;Eletrônicos;Fone de Ouvido;3144,32;1,0
6092;Moda;Jaqueta;440,56;1,0
6092;Casa; ;3954,9;3,0
6092;Casa;Aspirador de Pó;4219,22;3,0
6093;Esporte;Tênis Esportivo;2273,98;2,0
6093;Livros;Autoajuda;4576,13;3,0
6093;Moda;Calça Jeans;1892,68;2,0
6094;Livros;;573,6;1,0
6094;Casa;Cadeira;454,08;2,0
6094;Esporte;Bicicleta;2570,71;1,0
6095;Moda;Camiseta;1054,21;3,0
6095;Casa;Liquidificador;3459,38;1,0
6095;Esporte;Luvas;2579,57;1,0
6096;Livros;Autoajuda;4697,33;2,0
6096;Esporte;Bicicleta;854,09;1,0
6096;Livros;Ficção Científica;1015,68;2,0
6096;Livros;Romance;4500,02;1,0
6096;Moda;Jaqueta;869,85;1,0
6097;Eletrônicos;Notebook;38,05;2,0
6097;Esporte;Tênis Esportivo;2359,5;2,0
6097;Eletrônicos;Smartphone;4957,18;3,0
6097;Esporte;Luvas;568,78;3,0
6098;Esporte;Luvas;747,57;3,0
6098;Livros;;2431,42;3,0
6099;Eletrônicos;Tablet;952,14;1,0
6099;Esporte;Bicicleta;237,73;3,0
6099;Casa;Sofá;2817,74;3,0
6099;Livros;Romance;2519,99;3,0
6100;Eletrônicos;Notebook;4433,66;3,0
6100;Moda;Jaqueta;26488,31;3,0
6101;Esporte;Tênis Esportivo;3085,35;2,0
6101;Livros;Romance;2956,45;1,0
6101;Esporte;Bola de Futebol;1634,82;3,0
6102;Casa;Liquidificador;1952,91;2,0
6102;Casa;Liquidificador;4827,32;3,0
6103;Eletrônicos;Notebook;1512,89;2,0
6103;Eletrônicos;Tablet;;1,0
6103;Casa;Liquidificador;3694,84;2,0
6103;Casa;Liquidificador;963,51;3,0
6104;Casa;Sofá;2338,8;1,0
6104;Esporte;Tênis Esportivo;900,5;2,0
6105;Eletrônicos;Notebook;3198,95;2,0
6105;Moda;Tênis;4764,42;2,0
6106;Moda;Calça Jeans;592,02;3,0
6107;Casa;Sofá;1853,19;2,0
6108;Eletrônicos;Notebook;4328,25;3,0
6108;Moda;Calça Jeans;3870,33;2,0
6108;Casa;Aspirador de Pó;3787,35;2,0
6108;Moda;Camiseta;51,18;2,0
6108;Esporte;Bicicleta;4430,39;2,0
6109;Esporte;Tênis Esportivo;1710,22;2,0
6110;Casa;Aspirador de Pó;3864,3;3,0
6110;Livros;Romance;159,21;1,0
6110;Eletrônicos;Fone de Ouvido;264,01;1,0
6110;Moda;Calça Jeans;971,31;3,0
6111;Livros;Autoajuda;2844,32;1,0
6111;Moda;Tênis;4045,89;3,0
6111;Esporte;Bola de Futebol;2479,13;2,0
6112;Esporte;Bola de Futebol;985,46;2,0
6113;Casa;Sofá;4540,55;3,0
6113;Livros;Romance;673,96;3,0
6113;Esporte;Bola de Futebol;1669,9;2,0
6113;Livros;Ficção Científica;3811,01;3,0
6114;Casa;Cadeira;1067,9;2,0
6114;Esporte;Tênis Esportivo;603,06;3,0
6114;Esporte;Luvas;2303,8;3,0
6114;Esporte;Bola de Futebol;76,67;2,0
6114;Moda;Tênis;1643,25;3,0
6115;Esporte;Bicicleta;4218,51;
6115;Esporte;Bicicleta;251,7;1,0
6115;Moda;Tênis;2913,32;2,0
6115;Esporte;Tênis Esportivo;4564,67;2,0
6115;Livros;Biografia;608,06;1,0
6116;Casa;;4487,62;1,0
6116;Casa;Cadeira;3513,52;2,0
6116;Moda;Camiseta;2720,76;2,0
6117;Eletrônicos;Fone de Ouvido;4230,27;1,0
6117;Esporte;Bola de Futebol;2291,42;3,0
6117;Livros;Biografia;4019,65;2,0
6117;Eletrônicos;Smartphone;564,29;2,0
6118;Esporte;Luvas;1554,17;2,0
6118;Livros;Biografia;3377,85;2,0
6118;Esporte;Tênis Esportivo;2322,83;3,0
6118;Casa;Sofá;783,95;2,0
6118;Casa;Aspirador de Pó;1501,34;2,0
6119;Eletrônicos; ;2912,45;3,0
6119;Casa;Cadeira;4784,49;2,0
6119;Casa;Cadeira;3715,97;1,0
6120;Esporte;Bicicleta;4613,18;3,0
6120;Esporte;Bola de Futebol;1115,86;1,0
6120;Esporte;Luvas;197,84;2,0
6120;Esporte;Luvas;2211,99;2,0
6121;Eletrônicos;Notebook;2860,43;2,0
6121;Moda;Jaqueta;1137,42;2,0
6121;Casa;Aspirador de Pó;4400,33;2,0
6121;Eletrônicos;Smartphone;304,22;2,0
6122;Livros;Romance;676,18;3,0
6122;Esporte;Bicicleta;961,53;1,0
6123;Casa;Aspirador de Pó;1458,48;1,0
6123;Moda;Calça Jeans;3431,52;1,0
6123;Eletrônicos;Notebook;1101,91;3,0
6123;Moda;Tênis;1421,22;1,0
6124;Eletrônicos;Tablet;2843,01;2,0
6124;Moda;Camiseta;2012,17;2,0
6124;Moda;Calça Jeans;1724,89;3,0
6124;Esporte;Tênis Esportivo;3899,28;3,0
6125;Eletrônicos;Notebook;;1,0
6125;Esporte;Bola de Futebol;194,04;2,0
6125;Livros;Biografia;63399,29;3,0
6126;Livros;Autoajuda;3905,97;2,0
6126;Moda;Camiseta;608,75;3,0
6126;Casa;Liquidificador;1301,95;2,0
6127;Livros;Ficção Científica;2661,15;1,0
6127;Livros;Ficção Científica;4872,9;2,0
6127;Livros;Ficção Científica;1844,86;1,0
6128;Casa;Sofá;2766,72;3,0
6128;Esporte;Luvas;166,24;1,0
6128;Eletrônicos;Notebook;3618,87;1,0
6128;Moda;Camiseta;1268,06;1,0
6129;Eletrônicos;Smartphone;;3,0
6129;Livros;Autoajuda;;1,0
6129;Casa;Aspirador de Pó;2713,53;2,0
6129;Casa;Sofá;822,61;3,0
6130;Moda;Camiseta;1280,44;1,0
6130;Livros;Biografia;3992,1;1,0
6130;Casa;Liquidificador;2385,23;3,0
6130;Casa;Sofá;1569,26;1,0
6131;Eletrônicos;Notebook;997,65;1,0
6131;Casa;Liquidificador;2370,91;1,0
6131;Livros;Romance;93516,55;1,0
6131;Casa;Sofá;1581,73;3,0
6132;Moda;Camiseta;761,28;1,0
6133;Eletrônicos;Tablet;1823,44;2,0
6134;Eletrônicos;Tablet;1398,87;2,0
6134;Casa;Aspirador de Pó;3302,99;3,0
6134;Eletrônicos;Smartphone;4346,17;2,0
6135;Esporte;Bicicleta;4376,0;2,0
6135;Eletrônicos;Smartphone;;2,0
6135;Casa;Sofá;1286,73;1,0
6135;Eletrônicos;Notebook;4342,57;2,0
6136;Esporte;Tênis Esportivo;1483,0;3,0
6137;Moda;Camiseta;2877,14;2,0
6137;Casa;Sofá;734,54;
6138;Moda;Jaqueta;2688,5;3,0
6138;Eletrônicos;Tablet;273,4;1,0
6138;Livros;Biografia;2243,81;3,0
6138;Moda;Calça Jeans;;2,0
6138;Eletrônicos;Fone de Ouvido;3715,39;3,0
6139;Casa;Liquidificador;3116,18;2,0
6139;Eletrônicos;Smartphone;1843,96;3,0
6139;Eletrônicos;Tablet;2496,87;2,0
6140;Eletrônicos;Notebook;1771,48;3,0
6140;Moda;Camiseta;622,22;3,0
6141;Casa;Cadeira;657,85;1,0
6141;Moda;Jaqueta;4213,63;2,0
6142;Moda;Jaqueta;2939,89;3,0
6142;Moda;Camiseta;1738,04;3,0
6142;Livros;Biografia;4058,45;1,0
6142;Esporte;Bicicleta;4016,3;3,0
6142;Esporte;Bola de Futebol;1433,64;
6143;Esporte;Tênis Esportivo;4157,54;2,0
6144;Eletrônicos;Fone de Ouvido;4576,26;2,0
6144;Casa;Sofá;4138,83;3,0
6144;Esporte;Bicicleta;1945,83;482,0
6145;Eletrônicos;Notebook;3474,71;1,0
6145;Livros;Autoajuda;3646,26;1,0
6145;Esporte;Luvas;2415,68;2,0
6145;Livros;Ficção Científica;3187,72;1,0
6145;Livros;Biografia;3124,5;2,0
6146;Esporte;Bicicleta;3029,9;2,0
6146;Livros;Autoajuda;578,28;2,0
6146;Livros;Ficção Científica;4474,81;3,0
6146;Eletrônicos;Notebook;3078,52;3,0
6146;Eletrônicos;Notebook;1372,95;
6147;Livros;Ficção Científica;1486,27;3,0
6148;Eletrônicos;Smartphone;3613,35;3,0
6148;Livros;Romance;3019,0;2,0
6148;Livros;Autoajuda;1163,43;2,0
6148;Moda;Tênis;4398,54;2,0
6149;Moda;Calça Jeans;;3,0
6149;Moda;Camiseta;1127,49;3,0
6149;Moda;Camiseta;2989,3;1,0
6149;Livros;Romance;4564,48;3,0
6150;Moda;Jaqueta;1231,38;3,0
6150;Eletrônicos;Tablet;946,2;1,0
6150;Esporte;Tênis Esportivo;4559,87;2,0
6151;Livros;Autoajuda;2870,74;1,0
6151;Eletrônicos;Smartphone;2622,87;1,0
6151;Casa;Aspirador de Pó;79159,34;2,0
6151;Casa;Cadeira;2258,42;2,0
6152;Moda;Calça Jeans;4175,3;3,0
6152;Livros;Autoajuda;3431,43;3,0
6153;Esporte;Bola de Futebol;4915,2;1,0
6153;Casa;Liquidificador;3954,53;1,0
6153;Esporte;Bicicleta;3716,52;2,0
6153;Moda;Jaqueta;1642,5;
6154;Moda;Camiseta;2886,01;3,0
6154;Eletrônicos;Tablet;1524,05;2,0
6155;Eletrônicos;Fone de Ouvido;1526,5;2,0
6155;Casa;Sofá;1269,62;3,0
6155;Livros;Biografia;1321,24;1,0
6155;Livros;Ficção Científica;3217,25;1,0
6156;Casa;Sofá;3005,49;3,0
6156;Eletrônicos;Tablet;2231,09;2,0
6156;Livros;Ficção Científica;3121,2;2,0
6156;Moda;Jaqueta;2949,79;2,0
6157;Moda;Calça Jeans;3962,19;3,0
6157;Livros;Ficção Científica;;3,0
6157;Moda;Tênis;2299,67;1,0
6158;Eletrônicos;Notebook;1253,98;2,0
6158;Moda;Tênis;1721,72;3,0
6158;Moda;Camiseta;928,52;1,0
6158;Esporte;Tênis Esportivo;44112,59;1,0
6158;Moda;;3798,02;2,0
6159;Casa;Cadeira;978,66;2,0
6160;Eletrônicos;Notebook;1173,85;1,0
6160;Livros;Romance;2016,81;343,0
6161;Moda;Tênis;506,31;1,0
6161;Esporte;Bola de Futebol;1847,22;2,0
6162;Casa;Sofá;299,07;
6162;Livros;Romance;1388,71;1,0
6162;Livros;Biografia;1984,55;1,0
6163;Casa;Aspirador de Pó;1875,54;2,0
6164;Moda;Tênis;1185,87;1,0
6165;Casa;Liquidificador;2944,32;1,0
6165;Livros;Romance;1766,0;3,0
6165;Moda;Tênis;3067,86;2,0
6165;Eletrônicos;Tablet;577,07;3,0
6166;Livros;Biografia;2496,0;1,0
6166;Esporte;Luvas;3993,78;1,0
6166;Casa;Aspirador de Pó;4903,89;2,0
6166;Moda;Camiseta;4204,28;2,0
6167;Esporte;Bicicleta;4231,52;1,0
6168;Livros;Autoajuda;1210,11;1,0
6168;Eletrônicos;Smartphone;2307,26;1,0
6168;Livros;Romance;1467,13;1,0
6168;Livros;Autoajuda;2519,84;2,0
6168;Esporte;Luvas;2319,08;1,0
6169;Moda;;3472,87;2,0
6169;Eletrônicos;Smartphone;3733,46;3,0
6169;Eletrônicos;Smartphone;249,33;2,0
6170;Eletrônicos;Smartphone;3671,42;3,0
6170;Moda;Jaqueta;4160,36;3,0
6170;Casa;Liquidificador;2703,6;1,0
6170;Eletrônicos;Fone de Ouvido;4002,27;2,0
6171;Esporte;Bicicleta;2787,67;1,0
6172;Casa;Sofá;;3,0
6172;Livros;Romance;2651,39;3,0
6172;Livros;Autoajuda;4656,89;1,0
6172;Livros;Romance;3314,37;2,0
6173;Esporte;Bicicleta;1919,56;1,0
6173;Casa;Liquidificador;89,8;1,0
6173;Esporte;Bicicleta;4125,89;3,0
6174;Eletrônicos;Fone de Ouvido;2253,72;3,0
6174;Moda;Jaqueta;1077,57;2,0
6174;Livros;Romance;2346,57;1,0
6174;Eletrônicos;Notebook;;
6174;Casa;Sofá;4762,93;3,0
6175;Casa;Cadeira;543,1;2,0
6175;Livros;Biografia;3049,6;1,0
6175;Esporte;Luvas;4461,74;2,0
6175;Esporte;Luvas;1339,27;1,0
6175;Esporte;Luvas;2648,47;3,0
6176;Esporte;Tênis Esportivo;369,84;3,0
6176;Livros;Autoajuda;;1,0
6176;Esporte;Tênis Esportivo;1790,99;1,0
6176;Livros;Biografia;4110,5;1,0
6177;Moda;Camiseta;2533,79;3,0
6177;Esporte;Bicicleta;2955,2;1,0
6177;Eletrônicos;Smartphone;699,47;3,0
6178;Esporte;Tênis Esportivo;3799,36;1,0
6178;Moda;;3526,42;2,0
6178;Moda;Camiseta;3394,72;1,0
6179;Esporte;Luvas;568,08;1,0
6179;Esporte;Bola de Futebol;;3,0
6179;Esporte;Bicicleta;92,7;1,0
6179;Moda;Tênis;38401,46;1,0
6180;Livros;Biografia;1626,61;3,0
6180;Eletrônicos;Fone de Ouvido;1500,06;1,0
6180;Casa;Liquidificador;3339,07;3,0
6181;Moda;Jaqueta;2025,26;2,0
6181;Moda;Jaqueta;701,47;2,0
6181;Eletrônicos;Tablet;1096,34;1,0
6181;Livros;Ficção Científica;2644,98;3,0
6181;Eletrônicos;Smartphone;178,65;1,0
6182;Moda;Tênis;812,22;2,0
6182;Casa;Aspirador de Pó;4930,0;2,0
6182;Livros;Romance;2205,28;3,0
6183;Esporte; ;4952,14;2,0
6183;Esporte;Bicicleta;2574,56;2,0
6183;Moda;Tênis;525,89;3,0
6183;Esporte;Bicicleta;752,0;1,0
6183;Esporte;Tênis Esportivo;3170,23;1,0
6184;Moda;Calça Jeans;1271,56;1,0
6185;Livros;Romance;1880,23;3,0
6185;Esporte;Luvas;4269,98;1,0
6186;Livros;Romance;3306,7;3,0
6186;Casa;Liquidificador;4135,55;399,0
6187;Moda;Camiseta;1703,97;2,0
6187;Esporte;Luvas;245,92;3,0
6187;Eletrônicos;Notebook;1111,02;1,0
6187;Esporte;Tênis Esportivo;3863,48;2,0
6187;Casa;Liquidificador;2931,0;2,0
6188;Esporte;Bola de Futebol;;2,0
6188;Esporte;Tênis Esportivo;4150,77;2,0
6189;Livros;Ficção Científica;103,62;1,0
6189;Livros;Ficção Científica;1277,78;3,0
6189;Esporte;Bicicleta;3629,21;1,0
6190;Moda;Jaqueta;411,74;2,0
6190;Eletrônicos;Notebook;4716,82;1,0
6190;Casa;Liquidificador;3486,39;2,0
6190;Esporte;Bola de Futebol;4602,83;1,0
6191;Moda;Jaqueta;61,81;1,0
6191;Eletrônicos;Fone de Ouvido;2287,37;1,0
6191;Casa;Liquidificador;4159,17;3,0
6191;Casa;Aspirador de Pó;3676,18;2,0
6191;Casa;Aspirador de Pó;4445,3;3,0
6192;Esporte;Bicicleta;1468,65;1,0
6192;Moda;Tênis;420,11;1,0
6192;Moda;Camiseta;2592,87;1,0
6192;Casa;Liquidificador;1580,89;2,0
6193;Moda;Calça Jeans;1594,87;1,0
6194;Casa;Liquidificador;1569,3;2,0
6194;Eletrônicos;Fone de Ouvido;2087,93;3,0
6194;Livros;Romance;4039,16;
6194;Esporte;Bola de Futebol;1500,68;3,0
6195;Casa;Aspirador de Pó;373,97;1,0
6195;Eletrônicos;Fone de Ouvido;4052,34;2,0
6195;Esporte;Tênis Esportivo;1594,07;1,0
6195;Moda;Jaqueta;1660,77;2,0
6196;Livros;Romance;2291,32;2,0
6196;Eletrônicos;Notebook;1097,53;2,0
6196;Livros;Biografia;3102,64;3,0
6196;Casa;Sofá;48,44;1,0
6196;Moda;Camiseta;3548,85;2,0
